Avg. $R^2$,Sample Size,Selected,Size of Selected Subset,# Correct Variables Selected,Sum of Sq. Cannonical Correlations
0.9002427048037346,100.0,[19 15  2 12 14  0 13  8  3 16 18  1  9 11 17  4 10  6  5  7 31],21,20,19.999999999999996
0.9002427048037346,100.0,[ 6  4 11 17 16 13  8 15 12 20 14 26  7  3  2  9 10  5 18 19],20,18,19.665202417865054
0.9002427048037346,100.0,[18 15  6 12  9 17 14 11 10  1  8 19  7 16  5 13  3  4  0  2 22],21,20,19.999999999999996
0.9002427048037346,100.0,[ 9  2 16 19 12  3 10  1 11 18  0  5 13  8  4 15 14  6 17  7 35],21,20,20.0
0.9002427048037346,100.0,[12  8 16  7  3  0  2  9 11 18  6 19  4 14 13 15  1 17  5 10 39],21,20,20.0
0.9002427048037346,100.0,[ 0  4  9 14  6  8 12 10  7 19 18  2  3 15 16 17  5  1 11 13 27],21,20,20.0
0.9002427048037346,100.0,[14 10  8  7 17 12 13 26  1  6 19 20 16  9  5  4 15  0 18 11 21],21,18,19.722942393386944
0.9002427048037346,100.0,[16 15  0 14 10  3  4  8 12  9  1  5 18 17 11 13  6  7  2 19 39],21,20,20.0
0.9002427048037346,100.0,[19 12  1  6 15  9 17 18 14  3  8  7  0  4 10  5 13 11 16  2 31],21,20,19.999999999999996
0.9002427048037346,100.0,[18 12  4 17 14  0 10 13  7  1  6  5  8  9 15 16 11 19  3  2],20,20,20.0
0.9002427048037346,100.0,[ 4 18 12  7  1 11  5 16  3  8 14  6 13  9  0 10 15 19 17  2 28],21,20,20.0
0.9002427048037346,100.0,[10 18 16  2  1 19 17  9 11 14 12 15  4  8  0  5  3 13  7  6 34],21,20,20.0
0.9002427048037346,100.0,[13 14 18 15  2 16  0  1 10  5  4 17 12  3  8  9  7 11  6 19 32],21,20,20.0
0.9002427048037346,100.0,[ 6  7  0 10 17 19  2 16 18  1  3 11 15  4 12  8 14  9 13  5 41],21,20,20.0
0.9002427048037346,100.0,[ 4 10  3  5  6  9 18 11 13  7 16 17  2 19  0  8  1 14 12 15 30],21,20,20.0
0.9002427048037346,100.0,[12  7  4 16 15 20 26  3 13  5 14  8 18 11  6 19  1  9 10 17],20,18,19.665202417865054
0.9002427048037346,100.0,[15 20 11 26  8  4 19  7  6  5 13 16  9 17  2 10 12  0 14 18],20,18,19.665202417865054
0.9002427048037346,100.0,[10  5 13 17  2 14 16 15 19 12  9  3 18  8  7  0  6 11  4  1 30],21,20,20.0
0.9002427048037346,100.0,[ 1 10  8  6 16  4 19 11  7 17 13 18 15  9  3  2 12 14  5  0 40],21,20,20.0
